Unnamed: 0,Search Term,Address,Status
0,"NATIONAL HEART, LUNG, AND BLOOD INSTITUTE","Adresse : 9000 Rockville Pike, Bethesda, MD 20892, Vereinigte Staaten",Found
1,NATIONAL INSTITUTE OF ALLERGY AND INFECTIOUS DISEASES,"Adresse : 5601 Fishers Lane, Rockville, MD 20852, Vereinigte Staaten",Found
2,OSTIIO LLC,"Adresse : 1209 Orange St, Wilmington, DE 19801, Vereinigte Staaten",Found
3,University of Michigan,"Adresse : 500 S State St, Ann Arbor, MI 48109, Vereinigte Staaten",Found
4,University of Wisconsin-Madison,"Adresse : 500 Lincoln Dr, Madison, WI 53706, Vereinigte Staaten",Found
5,Emory University,"Adresse : 201 Dowman Dr, Atlanta, GA 30322, Vereinigte Staaten",Found
6,University of Idaho,"Adresse : 875 Perimeter Dr, Moscow, ID 83844, Vereinigte Staaten",Found
7,University of Wyoming,"Adresse : 1000 E University Ave, Laramie, WY 82071, Vereinigte Staaten",Found
8,Bowling Green State University,"Adresse : 1001 E Wooster St, Bowling Green, OH 43403, Vereinigte Staaten",Found
9,Western Washington University,"Adresse : 516 High St, Bellingham, WA 98225, Vereinigte Staaten",Found
10,Case Western Reserve University,"Adresse : 10900 Euclid Ave, Cleveland, OH 44106, Vereinigte Staaten",Found
11,Lawrence Technological University,"Adresse : 21000 W 10 Mile Rd, Southfield, MI 48075, Vereinigte Staaten",Found
12,Yale University,"Adresse : New Haven, CT 06520, Vereinigte Staaten",Found
13,Johns Hopkins University,"Adresse : Baltimore, MD 21218, Vereinigte Staaten",Found
14,"Board of Regents, NSHE,","Adresse : 2601 Enterprise Rd, Reno, NV 89512, Vereinigte Staaten",Found
15,Incorporated Research Institutions for Seismology,"Adresse : 1200 New York Ave NW, Washington, DC 20005, Vereinigte Staaten",Found
16,John Carroll University,"Adresse : 1 John Carroll Blvd, University Heights, OH 44118, Vereinigte Staaten",Found
17,Illinois Wesleyan University,"Adresse : 1312 Park St, Bloomington, IL 61701, Vereinigte Staaten",Found
18,Woods Hole Oceanographic Institution,"Adresse : 266 Woods Hole Rd, Woods Hole, MA 02543, Vereinigte Staaten",Found
19,Washington University,"Adresse : 1 Brookings Dr, St. Louis, MO 63130, Vereinigte Staaten",Found
20,New Mexico Institute of Mining and Technology,"Adresse : 801 Leroy Pl, Socorro, NM 87801, Vereinigte Staaten",Found
21,Rice University,"Adresse : 6100 Main St, Houston, TX 77005, Vereinigte Staaten",Found
22,University of Oregon Eugene,"Adresse : 1585 E 13th Ave, Eugene, OR 97403, Vereinigte Staaten",Found
23,Dartmouth College,"Adresse : Hanover, NH 03755, Vereinigte Staaten",Found
24,University of Massachusetts Amherst,"Adresse : 300 Massachusetts Ave, Amherst, MA 01003, Vereinigte Staaten",Found
25,Michigan State University,"Adresse : East Lansing, MI, Vereinigte Staaten",Found
26,University of Illinois at Chicago,"Adresse : 1200 W Harrison St, Chicago, IL 60607, Vereinigte Staaten",Found
27,"University of Massachusetts, Dartmouth","Adresse : 285 Old Westport Rd, Dartmouth, MA 02747, Vereinigte Staaten",Found
28,University of Minnesota,"Adresse : Minneapolis, MN 55455, Vereinigte Staaten",Found
29,Florida International University,"Adresse : 11200 SW 8th St, Miami, FL 33199, Vereinigte Staaten",Found
30,University of Arizona,"Adresse : 1200 E University Blvd, Tucson, AZ 85721, Vereinigte Staaten",Found
31,University of Vermont,"Adresse : Burlington, VT 05405, Vereinigte Staaten",Found
32,Duke University,"Adresse : Durham, NC 27708, Vereinigte Staaten",Found
33,University of Central Florida,"Adresse : 4000 Central Florida Blvd, Orlando, FL 32816, Vereinigte Staaten",Found
34,University of Illinois at Urbana-Champaign,"Adresse : Champaign, IL, Vereinigte Staaten",Found
35,Texas State University,"Adresse : 601 University Dr, San Marcos, TX 78666, Vereinigte Staaten",Found
36,University of Florida,"Adresse : Gainesville, FL 32611, Vereinigte Staaten",Found
37,Florida State University,"Adresse : 222 S Copeland St, Tallahassee, FL 32306, Vereinigte Staaten",Found
38,University of Connecticut,"Adresse : 352 Mansfield Rd, Storrs, CT 06269, Vereinigte Staaten",Found
39,University of California-Riverside,"Adresse : 900 University Ave, Riverside, CA 92521, Vereinigte Staaten",Found
40,Iowa State University,"Adresse : Ames, IA 50011, Vereinigte Staaten",Found
41,University of South Florida,"Adresse : 4202 E Fowler Ave, Tampa, FL 33620, Vereinigte Staaten",Found
42,Ohio State University,"Adresse : 281 W Lane Ave, Columbus, OH 43210, Vereinigte Staaten",Found
43,Texas A&M University Main Campus,"Adresse : 400 Bizzell St, College Station, TX 77843, Vereinigte Staaten",Found
44,University of Nebraska-Lincoln,"Adresse : 1400 R St, Lincoln, NE 68588, Vereinigte Staaten",Found
45,Bowdoin College,"Adresse : 255 Maine St, Brunswick, ME 04011, Vereinigte Staaten",Found
46,William & Mary,"Adresse : P.O. Box 8795, Williamsburg, VA 23187, Vereinigte Staaten",Found
47,Oregon State University,"Adresse : 1500 SW Jefferson Way, Corvallis, OR 97331, Vereinigte Staaten",Found
48,University of Maine,"Adresse : 168 College Ave, Orono, ME 04469, Vereinigte Staaten",Found
49,University of Houston,"Adresse : 4302 University Dr, Houston, TX 77004, Vereinigte Staaten",Found
50,Southern Illinois University at Carbondale,"Adresse : Carbondale, IL 62901, Vereinigte Staaten",Found
51,Virginia Tech,"Adresse : Blacksburg, VA 24061, Vereinigte Staaten",Found
52,Harvey Mudd College,"Adresse : 301 Platt Blvd, Claremont, CA 91711, Vereinigte Staaten",Found
53,Boston University,"Adresse : Commonwealth Ave, Boston, MA 02215, Vereinigte Staaten",Found
54,Berry College,"Adresse : 2277 Martha Berry Hwy, Mt Berry, GA 30149, Vereinigte Staaten",Found
55,University of California-Davis,"Adresse : 1 Shields Ave, Davis, CA 95616, Vereinigte Staaten",Found
56,QUALITY EDUCATION FOR MINORITIES NETWORK,"Adresse : 1818 N St NW, Washington, DC 20036, Vereinigte Staaten",Found
57,University of Colorado at Boulder,"Adresse : Boulder, CO 80309, Vereinigte Staaten",Found
58,Gettysburg College,"Adresse : 300 N Washington St, Gettysburg, PA 17325, Vereinigte Staaten",Found
59,University of Georgia,"Adresse : University of Georgia Chapel, Herty Dr, Athens, GA 30602, Vereinigte Staaten",Found
60,Forsyth Technical Community College,"Adresse : 2100 Silas Creek Pkwy, Winston-Salem, NC 27103, Vereinigte Staaten",Found
61,South Dakota School of Mines and Technology,"Adresse : 501 E St Joseph St, Rapid City, SD 57701, Vereinigte Staaten",Found
62,University of Chicago,"Adresse : 5801 S Ellis Ave, Chicago, IL 60637, Vereinigte Staaten",Found
63,Biological Sciences Curriculum Study,"Adresse : 5415 Mark Dabling Blvd, Colorado Springs, CO 80918, Vereinigte Staaten",Found
64,Fisk University,"Adresse : 1000 17th Ave N, Nashville, TN 37208, Vereinigte Staaten",Found
65,Rensselaer Polytechnic Institute,"Adresse : 110 8th St, Troy, NY 12180, Vereinigte Staaten",Found
66,North Carolina Agricultural & Technical State University,"Adresse : 1601 E Market St, Greensboro, NC 27411, Vereinigte Staaten",Found
67,University of North Carolina at Charlotte,"Adresse : 9201 University City Blvd, Charlotte, NC 28223, Vereinigte Staaten",Found
68,University of California-Santa Barbara,"Adresse : Santa Barbara, CA 93106, Vereinigte Staaten",Found
69,Towson University,"Adresse : 8000 York Rd, Towson, MD 21252, Vereinigte Staaten",Found
70,University of Colorado Boulder,"Adresse : Boulder, CO 80309, Vereinigte Staaten",Found
71,University of California-Irvine,"Adresse : Irvine, CA 92697, Vereinigte Staaten",Found
72,University at Buffalo,"Adresse : 190 Founders Prom, Getzville, NY 14068, Vereinigte Staaten",Found
73,California Institute of Technology,"Adresse : 1200 E California Blvd, Pasadena, CA 91125, Vereinigte Staaten",Found
74,TERC Inc,"Adresse : 2067 Massachusetts Ave, Cambridge, MA 02140, Vereinigte Staaten",Found
75,"Bermuda Institute of Ocean Sciences (BIOS), Inc.","Adresse : 25 Biological Station, St.George's, Bermuda",Found
76,Colorado School of Mines,"Adresse : 1500 Illinois St, Golden, CO 80401, Vereinigte Staaten",Found
77,CUNY Herbert H. Lehman College,"Adresse : 250 Bedford Park Blvd W, Bronx, NY 10468, Vereinigte Staaten",Found
78,University of Texas at El Paso,"Adresse : 500 W University Ave, El Paso, TX 79968, Vereinigte Staaten",Found
79,Jackson State University,"Adresse : 1400 John R. Lynch St, Jackson, MS 39217, Vereinigte Staaten",Found
80,University of Puerto Rico-Rio Piedras,"Adresse : 6, 2526, 601 Av. Universidad, San Juan, 00925, Puerto Rico",Found
81,Barnard College,"Adresse : 3009 Broadway, New York, NY 10027, Vereinigte Staaten",Found
82,University of Texas at Austin,"Adresse : 2515 Speedway, Austin, TX 78712, Vereinigte Staaten",Found
83,University of Puerto Rico Mayaguez,"Adresse : 259 Av. Alfonso Valdés Cobián, Mayagüez, 00680, Puerto Rico",Found
84,CUNY City College,"Adresse : 160 Convent Ave, New York, NY 10031, Vereinigte Staaten",Found
85,Spelman College,"Adresse : 350 Spelman Ln SW, Atlanta, GA 30314, Vereinigte Staaten",Found
86,Hartnell College,"Adresse : 411 Central Ave, Salinas, CA 93901, Vereinigte Staaten",Found
87,Massachusetts Institute of Technology,"Adresse : 77 Massachusetts Ave, Cambridge, MA 02139, Vereinigte Staaten",Found
88,West Texas A&M University,"Adresse : 2501 4th Ave, Canyon, TX 79016, Vereinigte Staaten",Found
89,New Mexico State University,"Adresse : 1780 E University Ave, Las Cruces, NM 88003, Vereinigte Staaten",Found
90,CUNY Bronx Community College,"Adresse : 2155 University Ave, Bronx, NY 10453, Vereinigte Staaten",Found
91,University of Colorado at Denver-Downtown Campus,"Adresse : 1201 Larimer St, Denver, CO 80204, Vereinigte Staaten",Found
92,University of Memphis,"Adresse : 3720 Alumni Ave, Memphis, TN 38152, Vereinigte Staaten",Found
93,Stanford University,"Adresse : 450 Jane Stanford Way, Stanford, CA 94305, Vereinigte Staaten",Found
94,Arizona State University,"Adresse : 1151 S Forest Ave, Tempe, AZ, Vereinigte Staaten",Found
95,Georgia Institute of Technology,"Adresse : Atlanta, GA 30332, Vereinigte Staaten",Found
96,American Society For Engineering Education,"Adresse : 1818 N St NW, Washington, DC 20036, Vereinigte Staaten",Found
97,Utah State University,"Adresse : Old Main Hill, Logan, UT 84322, Vereinigte Staaten",Found
98,North Carolina State University,"Adresse : Raleigh, NC 27695, Vereinigte Staaten",Found
99,University of North Texas,"Adresse : 1155 Union Cir, Denton, TX 76205, Vereinigte Staaten",Found
100,Louisiana State University & Agricultural and Mechanical College,"Adresse : Pleasant Hall, 1146, Baton Rouge, LA 70802, Vereinigte Staaten",Found
101,University of Akron,"Adresse : 302 E Buchtel Ave, Akron, OH 44325, Vereinigte Staaten",Found
102,University of Maryland College Park,"Adresse : 7901 Regents Dr, College Park, MD 20742, Vereinigte Staaten",Found
103,Harvard University,"Adresse : Massachusetts Hall, Cambridge, MA 02138, Vereinigte Staaten",Found
104,Frederick Community College,"Adresse : 7932 Opossumtown Pike, Frederick, MD 21701, Vereinigte Staaten",Found
105,University of Washington,"Adresse : 1410 NE Campus Pkwy, Seattle, WA 98195, Vereinigte Staaten",Found
106,Pacific Lutheran University,"Adresse : 12180 Park Ave. S, Tacoma, WA 98447, Vereinigte Staaten",Found
107,University of New Mexico,"Adresse : 1155 University Blvd SE, Albuquerque, NM 87106, Vereinigte Staaten",Found
108,Purdue University,"Adresse : 610 Purdue Mall, West Lafayette, IN 47907, Vereinigte Staaten",Found
109,University Corporation For Atmospheric Res,"Adresse : 3090 Center Green Dr, Boulder, CO 80301, Vereinigte Staaten",Found
110,Salish Kootenai College,"Adresse : 58138 US-93, Pablo, MT 59855, Vereinigte Staaten",Found
111,University of California - Merced,"Adresse : 5200 Lake Rd, Merced, CA 95343, Vereinigte Staaten",Found
112,SRI International,"Adresse : 333 Ravenswood Ave, Menlo Park, CA 94025, Vereinigte Staaten",Found
113,University of Pittsburgh,"Adresse : 4200 Fifth Ave, Pittsburgh, PA 15260, Vereinigte Staaten",Found
114,George Mason University,"Adresse : 4400 University Dr, Fairfax, VA 22030, Vereinigte Staaten",Found
115,Texas Tech University,"Adresse : 2500 Broadway St, Lubbock, TX 79409, Vereinigte Staaten",Found
116,American Association For Advancement Science,"Adresse : 1200 New York Ave NW, Washington, DC 20005, Vereinigte Staaten",Found
117,Temple University,"Adresse : 1801 N Broad St, Philadelphia, PA 19122, Vereinigte Staaten",Found
118,Brown University,"Adresse : Providence, RI 02912, Vereinigte Staaten",Found
119,Pennsylvania State University,"Adresse : 201 Old Main, University Park, PA 16802, Vereinigte Staaten",Found
120,Lehigh University,"Adresse : 27 Memorial Dr W, Bethlehem, PA 18015, Vereinigte Staaten",Found
121,New York University,"Adresse : New York, NY 10012, Vereinigte Staaten",Found
122,The Trustees of Columbia University in the City of New York,"Adresse : Low Memorial Library, 535 W 116th St, New York, NY 10027, Vereinigte Staaten",Found
123,University of California-Berkeley,"Adresse : Berkeley, CA, Vereinigte Staaten",Found
124,University of Rochester,"Adresse : 186 Cumberland St, Rochester, NY 14609, Vereinigte Staaten",Found
125,University of Southern Mississippi,"Adresse : 118 College Dr, Hattiesburg, MS 39406, Vereinigte Staaten",Found
126,Carnegie-Mellon University,"Adresse : 5000 Forbes Ave, Pittsburgh, PA 15213, Vereinigte Staaten",Found
127,University of Utah,"Adresse : 201 Presidents' Cir, Salt Lake City, UT 84112, Vereinigte Staaten",Found
128,University of California-San Diego,"Adresse : 9500 Gilman Dr, La Jolla, CA 92093, Vereinigte Staaten",Found
129,DePaul University,"Adresse : 1 E Jackson Blvd, Chicago, IL 60604, Vereinigte Staaten",Found
130,University of Denver,"Adresse : Denver, CO 80210, Vereinigte Staaten",Found
131,Washington State University,"Adresse : 2425 Grimes Way, Pullman, WA 99164, Vereinigte Staaten",Found
132,Rutgers University,"Adresse : New Brunswick, NJ, Vereinigte Staaten",Found
133,Macalester College,"Adresse : 1600 Grand Ave, St Paul, MN 55105, Vereinigte Staaten",Found
134,Drexel University,"Adresse : 3141 Chestnut St, Philadelphia, PA 19104, Vereinigte Staaten",Found
135,University of New Hampshire,"Adresse : 105 Main St, Durham, NH 03824, Vereinigte Staaten",Found
136,Tulane University,"Adresse : 6823 St Charles Ave, New Orleans, LA 70118, Vereinigte Staaten",Found
137,Kenyon College,"Adresse : 106 College Park Dr, Gambier, OH 43022, Vereinigte Staaten",Found
138,University of Notre Dame,"Adresse : Holy Cross Dr, Notre Dame, IN 46556, Vereinigte Staaten",Found
139,University of California-Santa Cruz,"Adresse : 1156 High St, Santa Cruz, CA 95064, Vereinigte Staaten",Found
140,Vanderbilt University,"Adresse : 2201 West End Ave, Nashville, TN 37235, Vereinigte Staaten",Found
141,Montana State University,"Adresse : Culbertson Hall, 100, Bozeman, MT 59717, Vereinigte Staaten",Found
142,Kansas State University,"Adresse : Manhattan, KS 66506, Vereinigte Staaten",Found
143,University of Alabama Tuscaloosa,"Adresse : Tuscaloosa, AL 35487, Vereinigte Staaten",Found
144,University of Alabama at Birmingham,"Adresse : 1720 University Blvd, Birmingham, AL 35294, Vereinigte Staaten",Found
145,Indiana University,"Adresse : 107 S Indiana Ave, Bloomington, IN 47405, Vereinigte Staaten",Found
146,Northeastern Illinois University,"Adresse : 5500 N St Louis Ave, Chicago, IL 60625, Vereinigte Staaten",Found
147,Wellesley College,"Adresse : 106 Central St, Wellesley, MA 02481, Vereinigte Staaten",Found
148,University of Michigan Ann Arbor,"Adresse : 500 S State St, Ann Arbor, MI 48109, Vereinigte Staaten",Found
149,UC San Diego Scripps Institute of Oceanography,"Adresse : 8622 Kennel Way, La Jolla, CA 92037, Vereinigte Staaten",Found
150,University of California-San Diego Scripps Institute of Oceanography,"Adresse : 8622 Kennel Way, La Jolla, CA 92037, Vereinigte Staaten",Found
151,East Tennessee State University,"Adresse : 1276 Gilbreath Dr, Johnson City, TN 37614, Vereinigte Staaten",Found
152,Carnegie Institution of Washington,"Adresse : 5251 Broad Branch Rd NW, Washington, DC 20015, Vereinigte Staaten",Found
153,Columbia University,"Adresse : 116th and Broadway, New York, NY 10027, Vereinigte Staaten",Found
154,University of North Dakota Main Campus,"Adresse : Grand Forks, ND 58202, Vereinigte Staaten",Found
155,University of Texas at San Antonio,"Adresse : Physical Education Building, 1 UTSA Circle, San Antonio, TX 78249, Vereinigte Staaten",Found
156,University of Rhode Island,"Adresse : 45 Upper College Rd, Kingston, RI 02881, Vereinigte Staaten",Found
157,Carlow University,"Adresse : 3333 Fifth Ave, Pittsburgh, PA 15213, Vereinigte Staaten",Found
158,Alcorn State University,"Adresse : 1000 Asu Dr, Lorman, MS 39096, Vereinigte Staaten",Found
159,Bethune-Cookman University,"Adresse : 640 Dr Mary McLeod Bethune Blvd, Daytona Beach, FL 32114, Vereinigte Staaten",Found
160,University of West Alabama,"Adresse : 100 US-11, Livingston, AL 35470, Vereinigte Staaten",Found
161,University of Missouri-Columbia,"Adresse : Columbia, MO 65211, Vereinigte Staaten",Found
162,Pacific University,"Adresse : 2043 College Way, Forest Grove, OR 97116, Vereinigte Staaten",Found
163,Miami University,"Adresse : 501 E High St, Oxford, OH 45056, Vereinigte Staaten",Found
164,University of Nevada Las Vegas,"Adresse : 4505 S Maryland Pkwy, Las Vegas, NV 89154, Vereinigte Staaten",Found
165,University of Wisconsin-La Crosse,"Adresse : 1725 State St, La Crosse, WI 54601, Vereinigte Staaten",Found
166,Kent State University,"Adresse : 800 E Summit St, Kent, OH 44240, Vereinigte Staaten",Found
167,Predictive Science Incorporated,"Adresse : 9990 Mesa Rim Rd #170, San Diego, CA 92121, Vereinigte Staaten",Found
168,University of Oklahoma Norman Campus,"Adresse : 660 Parrington Oval, Norman, OK 73019, Vereinigte Staaten",Found
169,Central State University,"Adresse : 1400 Brush Row Rd, Wilberforce, OH 45384, Vereinigte Staaten",Found
170,University of Cincinnati Main Campus,"Adresse : 2600 Clifton Ave, Cincinnati, OH 45221, Vereinigte Staaten",Found
171,Smithsonian Tropical Research Institute,"Adresse : Roosevelt Ave, Panama Stadt, Panama",Found
172,Syracuse University,"Adresse : 900 S Crouse Ave, Syracuse, NY 13244, Vereinigte Staaten",Found
173,Mississippi State University,"Adresse : 75 B. S. Hood Rd, Mississippi State, MS 39762, Vereinigte Staaten",Found
174,University of Tennessee Knoxville,"Adresse : Knoxville, TN 37996, Vereinigte Staaten",Found
175,George Washington University,"Adresse : 2121 I St NW, Washington, DC 20052, Vereinigte Staaten",Found
176,Stony Brook University,"Adresse : 100 Nicolls Rd, Stony Brook, NY 11794, Vereinigte Staaten",Found
177,Saint Augustine's College,"Adresse : 18-22 Alfred Rd, Brookvale NSW 2100, Australien",Found
178,Northern Arizona University,"Adresse : S San Francisco St, Flagstaff, AZ 86011, Vereinigte Staaten",Found
179,Southern Methodist University,"Adresse : Dallas, TX 75205, Vereinigte Staaten",Found
180,California State University-Fresno Foundation,"Adresse : 4910 N Chestnut Ave, Fresno, CA 93726, Vereinigte Staaten",Found
181,SPACE SCIENCE INSTITUTE,"Adresse : 4750 Walnut St, Boulder, CO 80301, Vereinigte Staaten",Found
182,Carnegie Institute,"Adresse : 1530 P St NW, Washington, DC 20005, Vereinigte Staaten",Found
183,The University of Texas Rio Grande Valley,"Adresse : 1201 W University Dr, Edinburg, TX 78539, Vereinigte Staaten",Found
184,Boise State University,"Adresse : 1910 W University Dr, Boise, ID 83725, Vereinigte Staaten",Found
185,Stevens Institute of Technology,"Adresse : 1 Castle Point Terrace, Hoboken, NJ 07030, Vereinigte Staaten",Found
186,CUNY College of Staten Island,"Adresse : 2800 Victory Blvd, Staten Island, NY 10314, Vereinigte Staaten",Found
187,Embry-Riddle Aeronautical University,"Adresse : 1 Aerospace Blvd, Daytona Beach, FL 32114, Vereinigte Staaten",Found
188,Northeastern University,"Adresse : 360 Huntington Ave, Boston, MA 02115, Vereinigte Staaten",Found
189,Texas A&M Engineering Experiment Station,"Adresse : 1470 William D. Fitch Pkwy, College Station, TX 77845, Vereinigte Staaten",Found
190,University of Hawaii,"Adresse : 2500 Campus Rd, Honolulu, HI 96822, Vereinigte Staaten",Found
191,Lincoln University,"Adresse : Brayford Pool, Lincoln LN6 7TS, Vereinigtes Königreich",Found
192,Elizabeth City State University,"Adresse : 1704 Weeksville Rd, Elizabeth City, NC 27909, Vereinigte Staaten",Found
193,Clark Atlanta University,"Adresse : 223 James P Brawley Dr SW, Atlanta, GA 30314, Vereinigte Staaten",Found
194,University of Nebraska Medical Center,"Adresse : S 42nd &, Emile St, Omaha, NE 68198, Vereinigte Staaten",Found
195,Woods Hole Research Center,"Adresse : 149 Woods Hole Rd, Falmouth, MA 02540, Vereinigte Staaten",Found
196,California State University San Bernardino,"Adresse : 5500 University Pkwy, San Bernardino, CA 92407, Vereinigte Staaten",Found
197,Bentley University,"Adresse : 175 Forest St, Waltham, MA 02452, Vereinigte Staaten",Found
198,Rose-Hulman Institute of Technology,"Adresse : 5500 Wabash Ave, Terre Haute, IN 47803, Vereinigte Staaten",Found
199,Southern University,"Adresse : 801 Harding Blvd, Baton Rouge, LA 70807, Vereinigte Staaten",Found
200,San Diego State University Foundation,"Adresse : 5250 Campanile Dr, San Diego, CA 92182, Vereinigte Staaten",Found
